Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Science,null,A,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Science,null,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,E,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,C,null,null,null,null,null,null,null,null,B,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,C,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,E,B,null,null,null,null,null,null,null,null,null,null,D,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,B,null,null,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,O,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,,null,null,null,null,null,null,null,null,null,,,null,null,null,null,null,null,,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,D,null,A,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,A,null,null,null,null,null,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,B,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,D,null,null,null,null,C,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,D,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,A,null,C,A,null,null,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,B,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,null,A,null,D,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,O,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,E,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,D,null,E,null,null,null,null,null,null,C,B,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,E,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,A,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,null,null,null,null,null,null,null,null,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,D,null,null,A,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,O,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,A,null,E,C,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,B,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,E,D,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,D,null,A,C,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,E,null,null,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
